measure,worlds,repetition,value
1.0,1.0,1.0,0.5367226666666668
2.0,1.0,1.0,0.6288106666666666
3.0,1.0,1.0,0.6256213333333334
4.0,1.0,1.0,0.6499786666666665
1.0,2.0,1.0,0.5268746666666667
2.0,2.0,1.0,0.5966773333333332
3.0,2.0,1.0,0.6464799999999999
4.0,2.0,1.0,0.6251893333333336
1.0,3.0,1.0,0.5291199999999999
2.0,3.0,1.0,0.6078773333333336
3.0,3.0,1.0,0.6516426666666668
4.0,3.0,1.0,0.6244106666666667
1.0,4.0,1.0,0.5168240000000001
2.0,4.0,1.0,0.5929013333333333
3.0,4.0,1.0,0.6580906666666668
4.0,4.0,1.0,0.6148800000000001
1.0,5.0,1.0,0.5250986666666669
2.0,5.0,1.0,0.5971733333333333
3.0,5.0,1.0,0.654624
4.0,5.0,1.0,0.614144
1.0,6.0,1.0,0.5344426666666668
2.0,6.0,1.0,0.578608
3.0,6.0,1.0,0.6487200000000002
4.0,6.0,1.0,0.5991573333333332
1.0,7.0,1.0,0.5144773333333333
2.0,7.0,1.0,0.579008
3.0,7.0,1.0,0.6499199999999997
4.0,7.0,1.0,0.5973653333333331
1.0,8.0,1.0,0.5245546666666665
2.0,8.0,1.0,0.5703626666666667
3.0,8.0,1.0,0.6448053333333332
4.0,8.0,1.0,0.5953706666666664
1.0,9.0,1.0,0.5195439999999999
2.0,9.0,1.0,0.5974879999999999
3.0,9.0,1.0,0.6405866666666666
4.0,9.0,1.0,0.6135839999999997
1.0,10.0,1.0,0.5203760000000002
2.0,10.0,1.0,0.566416
3.0,10.0,1.0,0.6452746666666669
4.0,10.0,1.0,0.5951466666666666
1.0,11.0,1.0,0.5213493333333333
2.0,11.0,1.0,0.5688213333333333
3.0,11.0,1.0,0.6409653333333333
4.0,11.0,1.0,0.5928906666666669
1.0,12.0,1.0,0.5231013333333334
2.0,12.0,1.0,0.5588106666666666
3.0,12.0,1.0,0.6362453333333334
4.0,12.0,1.0,0.5861866666666669
1.0,13.0,1.0,0.5138319999999998
2.0,13.0,1.0,0.5670346666666667
3.0,13.0,1.0,0.6391413333333335
4.0,13.0,1.0,0.5877119999999999
1.0,14.0,1.0,0.5233120000000002
2.0,14.0,1.0,0.5625653333333333
3.0,14.0,1.0,0.6496746666666666
4.0,14.0,1.0,0.589824
1.0,15.0,1.0,0.5270453333333335
2.0,15.0,1.0,0.556672
3.0,15.0,1.0,0.6300000000000001
4.0,15.0,1.0,0.5797919999999999
1.0,16.0,1.0,0.5239706666666667
2.0,16.0,1.0,0.5481653333333333
3.0,16.0,1.0,0.6354026666666668
4.0,16.0,1.0,0.5748053333333335
1.0,17.0,1.0,0.5249573333333332
2.0,17.0,1.0,0.5481653333333334
3.0,17.0,1.0,0.6400960000000001
4.0,17.0,1.0,0.5769546666666665
1.0,18.0,1.0,0.5253306666666667
2.0,18.0,1.0,0.5698666666666666
3.0,18.0,1.0,0.6354080000000001
4.0,18.0,1.0,0.5935146666666665
1.0,19.0,1.0,0.5194480000000001
2.0,19.0,1.0,0.5578933333333332
3.0,19.0,1.0,0.631952
4.0,19.0,1.0,0.577216
1.0,20.0,1.0,0.5229280000000002
2.0,20.0,1.0,0.555424
3.0,20.0,1.0,0.6254346666666666
4.0,20.0,1.0,0.5743413333333335
