measure,worlds,repetition,value
1.0,1.0,1.0,0.6107397504456328
2.0,1.0,1.0,0.6515151515151513
3.0,1.0,1.0,0.5962566844919786
4.0,1.0,1.0,0.653743315508021
1.0,2.0,1.0,0.5848930481283422
2.0,2.0,1.0,0.5770944741532977
3.0,2.0,1.0,0.5499108734402856
4.0,2.0,1.0,0.5655080213903743
1.0,3.0,1.0,0.7237076648841356
2.0,3.0,1.0,0.7464349376114078
3.0,3.0,1.0,0.7090017825311943
4.0,3.0,1.0,0.74554367201426
1.0,4.0,1.0,0.6466131907308378
2.0,4.0,1.0,0.6657754010695185
3.0,4.0,1.0,0.5539215686274511
4.0,4.0,1.0,0.6697860962566843
1.0,5.0,1.0,0.67277250113071
2.0,5.0,1.0,0.7467209407507915
3.0,5.0,1.0,0.6259611035730439
4.0,5.0,1.0,0.740841248303935
1.0,6.0,1.0,0.6386250565355043
2.0,6.0,1.0,0.64314789687924
3.0,6.0,1.0,0.6508367254635913
4.0,6.0,1.0,0.6467661691542287
1.0,7.0,1.0,0.6404341926729986
2.0,7.0,1.0,0.6847580280416102
3.0,7.0,1.0,0.5956580732700137
4.0,7.0,1.0,0.6956128448665763
1.0,8.0,1.0,0.588680926916221
2.0,8.0,1.0,0.5405525846702316
3.0,8.0,1.0,0.6568627450980393
4.0,8.0,1.0,0.5534759358288769
1.0,9.0,1.0,0.5999547715965627
2.0,9.0,1.0,0.6282225237449119
3.0,9.0,1.0,0.5680687471732251
4.0,9.0,1.0,0.63048394391678
1.0,10.0,1.0,0.6506105834464044
2.0,10.0,1.0,0.6169154228855721
3.0,10.0,1.0,0.5581184984170059
4.0,10.0,1.0,0.6187245590230666
1.0,11.0,1.0,0.6644052464947987
2.0,11.0,1.0,0.6331976481230214
3.0,11.0,1.0,0.6015377657168703
4.0,11.0,1.0,0.6372682044323836
1.0,12.0,1.0,0.5111408199643495
2.0,12.0,1.0,0.4839572192513369
3.0,12.0,1.0,0.5303030303030305
4.0,12.0,1.0,0.48529411764705876
1.0,13.0,1.0,0.6834011759384893
2.0,13.0,1.0,0.6562641338760743
3.0,13.0,1.0,0.6024423337856176
4.0,13.0,1.0,0.6503844414292177
1.0,14.0,1.0,0.5422885572139303
2.0,14.0,1.0,0.5300768882858438
3.0,14.0,1.0,0.5323383084577116
4.0,14.0,1.0,0.5359565807327004
1.0,15.0,1.0,0.5269109000452283
2.0,15.0,1.0,0.5721393034825873
3.0,15.0,1.0,0.5513342379014022
4.0,15.0,1.0,0.575757575757576
1.0,16.0,1.0,0.62483039348711
2.0,16.0,1.0,0.625961103573044
3.0,16.0,1.0,0.5920398009950251
4.0,16.0,1.0,0.6318407960199006
1.0,17.0,1.0,0.5597014925373135
2.0,17.0,1.0,0.639077340569878
3.0,17.0,1.0,0.4513794663048395
4.0,17.0,1.0,0.6363636363636365
1.0,18.0,1.0,0.47014925373134325
2.0,18.0,1.0,0.5617367706919948
3.0,18.0,1.0,0.4730890999547718
4.0,18.0,1.0,0.5649027589326098
1.0,19.0,1.0,0.5241971958389867
2.0,19.0,1.0,0.5712347354138401
3.0,19.0,1.0,0.551334237901402
4.0,19.0,1.0,0.5698778833107193
1.0,20.0,1.0,0.5918003565062387
2.0,20.0,1.0,0.6189839572192517
3.0,20.0,1.0,0.6390374331550804
4.0,20.0,1.0,0.620766488413547
1.0,1.0,2.0,0.5352049910873441
2.0,1.0,2.0,0.5904634581105167
3.0,1.0,2.0,0.5628342245989306
4.0,1.0,2.0,0.6024955436720142
1.0,2.0,2.0,0.49331550802139046
2.0,2.0,2.0,0.5931372549019605
3.0,2.0,2.0,0.4745989304812832
4.0,2.0,2.0,0.5953654188948304
1.0,3.0,2.0,0.6635472370766489
2.0,3.0,2.0,0.7040998217468806
3.0,3.0,2.0,0.6524064171122997
4.0,3.0,2.0,0.7023172905525847
1.0,4.0,2.0,0.5833333333333333
2.0,4.0,2.0,0.6902852049910876
3.0,4.0,2.0,0.5267379679144386
4.0,4.0,2.0,0.6925133689839573
1.0,5.0,2.0,0.7207146087743104
2.0,5.0,2.0,0.7729534147444597
3.0,5.0,2.0,0.6815920398009953
4.0,5.0,2.0,0.7711442786069653
1.0,6.0,2.0,0.6804613297150611
2.0,6.0,2.0,0.6630483943916781
3.0,6.0,2.0,0.5753052917232022
4.0,6.0,2.0,0.6612392582541837
1.0,7.0,2.0,0.492311171415649
2.0,7.0,2.0,0.5278154681139757
3.0,7.0,2.0,0.5486205336951606
4.0,7.0,2.0,0.5241971958389869
1.0,8.0,2.0,0.5542740841248304
2.0,8.0,2.0,0.5662596110357305
3.0,8.0,2.0,0.5305291723202173
4.0,8.0,2.0,0.5671641791044777
1.0,9.0,2.0,0.621438263229308
2.0,9.0,2.0,0.6205336951605607
3.0,9.0,2.0,0.7182270465852556
4.0,9.0,2.0,0.6327453640886477
1.0,10.0,2.0,0.5967887833559476
2.0,10.0,2.0,0.6010854816824965
3.0,10.0,2.0,0.6341022161917683
4.0,10.0,2.0,0.6028946178199909
1.0,11.0,2.0,0.6069651741293531
2.0,11.0,2.0,0.6218905472636818
3.0,11.0,2.0,0.5838986883763003
4.0,11.0,2.0,0.6322930800542743
1.0,12.0,2.0,0.6282225237449118
2.0,12.0,2.0,0.6521935775667118
3.0,12.0,2.0,0.6417910447761195
4.0,12.0,2.0,0.6540027137042062
1.0,13.0,2.0,0.6422433288104931
2.0,13.0,2.0,0.672998643147897
3.0,13.0,2.0,0.6494798733604704
4.0,13.0,2.0,0.6806874717322482
1.0,14.0,2.0,0.6207664884135472
2.0,14.0,2.0,0.6278966131907306
3.0,14.0,2.0,0.6180926916221032
4.0,14.0,2.0,0.6314616755793223
1.0,15.0,2.0,0.5732700135685211
2.0,15.0,2.0,0.6232473993668023
3.0,15.0,2.0,0.5377657168701945
4.0,15.0,2.0,0.6295793758480325
1.0,16.0,2.0,0.5998217468805705
2.0,16.0,2.0,0.6256684491978607
3.0,16.0,2.0,0.6069518716577539
4.0,16.0,2.0,0.6256684491978611
1.0,17.0,2.0,0.5980392156862746
2.0,17.0,2.0,0.4950980392156863
3.0,17.0,2.0,0.6537433155080213
4.0,17.0,2.0,0.49331550802139024
1.0,18.0,2.0,0.5844474153297683
2.0,18.0,2.0,0.5828877005347594
3.0,18.0,2.0,0.5557040998217468
4.0,18.0,2.0,0.5851158645276294
1.0,19.0,2.0,0.6087344028520498
2.0,19.0,2.0,0.6011586452762921
3.0,19.0,2.0,0.5851158645276291
4.0,19.0,2.0,0.6011586452762925
1.0,20.0,2.0,0.6580732700135686
2.0,20.0,2.0,0.6951605608322027
3.0,20.0,2.0,0.5214834916327454
4.0,20.0,2.0,0.6856625961103573
1.0,1.0,3.0,0.570855614973262
2.0,1.0,3.0,0.6577540106951869
3.0,1.0,3.0,0.5739750445632799
4.0,1.0,3.0,0.6635472370766485
1.0,2.0,3.0,0.6248303934871099
2.0,2.0,3.0,0.6829488919041159
3.0,2.0,3.0,0.6268656716417911
4.0,2.0,3.0,0.6684758028041611
1.0,3.0,3.0,0.6956327985739751
2.0,3.0,3.0,0.7575757575757572
3.0,3.0,3.0,0.7450980392156861
4.0,3.0,3.0,0.7642602495543668
1.0,4.0,3.0,0.6755793226381461
2.0,4.0,3.0,0.7009803921568629
3.0,4.0,3.0,0.5641711229946522
4.0,4.0,3.0,0.696969696969697
1.0,5.0,3.0,0.6743554952510176
2.0,5.0,3.0,0.6725463591135236
3.0,5.0,3.0,0.6408864767073721
4.0,5.0,3.0,0.6680235187697876
1.0,6.0,3.0,0.6127450980392156
2.0,6.0,3.0,0.6528520499108733
3.0,6.0,3.0,0.5793226381461674
4.0,6.0,3.0,0.6617647058823528
1.0,7.0,3.0,0.6706773618538325
2.0,7.0,3.0,0.6840463458110516
3.0,7.0,3.0,0.6729055258467027
4.0,7.0,3.0,0.6978609625668449
1.0,8.0,3.0,0.6426956128448666
2.0,8.0,3.0,0.7173224785165085
3.0,8.0,3.0,0.5811849841700588
4.0,8.0,3.0,0.7186793306196294
1.0,9.0,3.0,0.6595365418894831
2.0,9.0,3.0,0.6671122994652409
3.0,9.0,3.0,0.5953654188948305
4.0,9.0,3.0,0.6555258467023172
1.0,10.0,3.0,0.714572192513369
2.0,10.0,3.0,0.6613190730837788
3.0,10.0,3.0,0.7161319073083774
4.0,10.0,3.0,0.6608734402852052
1.0,11.0,3.0,0.5502035278154681
2.0,11.0,3.0,0.5599276345545005
3.0,11.0,3.0,0.5513342379014022
4.0,11.0,3.0,0.5612844866576212
1.0,12.0,3.0,0.6207664884135472
2.0,12.0,3.0,0.6461675579322637
3.0,12.0,3.0,0.570855614973262
4.0,12.0,3.0,0.6515151515151515
1.0,13.0,3.0,0.46145276292335125
2.0,13.0,3.0,0.5793226381461677
3.0,13.0,3.0,0.5815508021390373
4.0,13.0,3.0,0.5788770053475938
1.0,14.0,3.0,0.6116310160427808
2.0,14.0,3.0,0.5726381461675578
3.0,14.0,3.0,0.572638146167558
4.0,14.0,3.0,0.5762032085561498
1.0,15.0,3.0,0.6806874717322478
2.0,15.0,3.0,0.6653098145635461
3.0,15.0,3.0,0.6250565355042966
4.0,15.0,3.0,0.6644052464947989
1.0,16.0,3.0,0.676164631388512
2.0,16.0,3.0,0.6142017186793307
3.0,16.0,3.0,0.6702849389416554
4.0,16.0,3.0,0.6178199909543195
1.0,17.0,3.0,0.663324420677362
2.0,17.0,3.0,0.593137254901961
3.0,17.0,3.0,0.6724598930481277
4.0,17.0,3.0,0.5922459893048129
1.0,18.0,3.0,0.6399286987522282
2.0,18.0,3.0,0.5944741532976826
3.0,18.0,3.0,0.6662210338680927
4.0,18.0,3.0,0.5953654188948307
1.0,19.0,3.0,0.679556761646314
2.0,19.0,3.0,0.6151062867480775
3.0,19.0,3.0,0.7706919945725916
4.0,19.0,3.0,0.6060606060606059
1.0,20.0,3.0,0.48575305291723214
2.0,20.0,3.0,0.6092265943012214
3.0,20.0,3.0,0.5364088647670738
4.0,20.0,3.0,0.6114880144730893
1.0,1.0,4.0,0.5967023172905526
2.0,1.0,4.0,0.6844919786096254
3.0,1.0,4.0,0.6131907308377897
4.0,1.0,4.0,0.6956327985739748
1.0,2.0,4.0,0.6185383244206774
2.0,2.0,4.0,0.6394830659536542
3.0,2.0,4.0,0.6002673796791447
4.0,2.0,4.0,0.6408199643493762
1.0,3.0,4.0,0.6612392582541836
2.0,3.0,4.0,0.6888285843509726
3.0,3.0,4.0,0.6481230212573497
4.0,3.0,4.0,0.6829488919041159
1.0,4.0,4.0,0.5679590017825312
2.0,4.0,4.0,0.6341354723707665
3.0,4.0,4.0,0.5396613190730838
4.0,4.0,4.0,0.6408199643493762
1.0,5.0,4.0,0.5300802139037433
2.0,5.0,4.0,0.5405525846702318
3.0,5.0,4.0,0.5748663101604278
4.0,5.0,4.0,0.5427807486631017
1.0,6.0,4.0,0.6265597147950089
2.0,6.0,4.0,0.7005347593582891
3.0,6.0,4.0,0.5383244206773621
4.0,6.0,4.0,0.697860962566845
1.0,7.0,4.0,0.5572139303482587
2.0,7.0,4.0,0.6241519674355497
3.0,7.0,4.0,0.5413839891451832
4.0,7.0,4.0,0.6169154228855721
1.0,8.0,4.0,0.6521935775667118
2.0,8.0,4.0,0.65445499773858
3.0,8.0,4.0,0.6390773405698781
4.0,8.0,4.0,0.6630483943916782
1.0,9.0,4.0,0.6483957219251336
2.0,9.0,4.0,0.6737967914438504
3.0,9.0,4.0,0.5797682709447413
4.0,9.0,4.0,0.6760249554367203
1.0,10.0,4.0,0.633423790140208
2.0,10.0,4.0,0.6322930800542742
3.0,10.0,4.0,0.6268656716417913
4.0,10.0,4.0,0.6372682044323837
1.0,11.0,4.0,0.6639529624604251
2.0,11.0,4.0,0.696969696969697
3.0,11.0,4.0,0.6834011759384896
4.0,11.0,4.0,0.7010402532790594
1.0,12.0,4.0,0.570855614973262
2.0,12.0,4.0,0.6256684491978611
3.0,12.0,4.0,0.5958110516934046
4.0,12.0,4.0,0.6229946524064173
1.0,13.0,4.0,0.6746880570409981
2.0,13.0,4.0,0.695632798573975
3.0,13.0,4.0,0.6515151515151514
4.0,13.0,4.0,0.700089126559715
1.0,14.0,4.0,0.599502487562189
2.0,14.0,4.0,0.6164631388511987
3.0,14.0,4.0,0.5979194934418816
4.0,14.0,4.0,0.6255088195386703
1.0,15.0,4.0,0.5811051693404635
2.0,15.0,4.0,0.5748663101604276
3.0,15.0,4.0,0.531639928698752
4.0,15.0,4.0,0.5646167557932262
1.0,16.0,4.0,0.7727272727272728
2.0,16.0,4.0,0.7494346449570332
3.0,16.0,4.0,0.6431478968792402
4.0,16.0,4.0,0.7435549525101766
1.0,17.0,4.0,0.6143048128342246
2.0,17.0,4.0,0.6581996434937611
3.0,17.0,4.0,0.6007130124777186
4.0,17.0,4.0,0.6595365418894831
1.0,18.0,4.0,0.5880124777183601
2.0,18.0,4.0,0.5481283422459893
3.0,18.0,4.0,0.56951871657754
4.0,18.0,4.0,0.5418894830659539
1.0,19.0,4.0,0.7134780642243329
2.0,19.0,4.0,0.7200361827227502
3.0,19.0,4.0,0.6431478968792403
4.0,19.0,4.0,0.7317955676164634
1.0,20.0,4.0,0.5588235294117646
2.0,20.0,4.0,0.577540106951872
3.0,20.0,4.0,0.6653297682709449
4.0,20.0,4.0,0.5770944741532977
1.0,1.0,5.0,0.5606060606060606
2.0,1.0,5.0,0.7183600713012478
3.0,1.0,5.0,0.6185383244206775
4.0,1.0,5.0,0.7437611408199643
1.0,2.0,5.0,0.6481729055258467
2.0,2.0,5.0,0.7455436720142596
3.0,2.0,5.0,0.6029411764705881
4.0,2.0,5.0,0.7468805704099819
1.0,3.0,5.0,0.6745816372682043
2.0,3.0,5.0,0.7146087743102668
3.0,3.0,5.0,0.644504748982361
4.0,3.0,5.0,0.7281772953414746
