measure,worlds,repetition,value
1.0,1.0,1.0,0.5649338085244361
2.0,1.0,1.0,0.6390830480942311
3.0,1.0,1.0,0.5226041972201418
4.0,1.0,1.0,0.6380746753814042
5.0,1.0,1.0,0.6395868240912411
6.0,1.0,1.0,0.6397277091924597
7.0,1.0,1.0,0.6399364300606897
8.0,1.0,1.0,0.5107522102617471
9.0,1.0,1.0,0.6391846026195793
1.0,2.0,1.0,0.545521033624319
2.0,2.0,1.0,0.6066063533829678
3.0,2.0,1.0,0.5272819497581108
4.0,2.0,1.0,0.600834486656636
5.0,2.0,1.0,0.6068806744277683
6.0,2.0,1.0,0.6104406742873814
7.0,2.0,1.0,0.607467700909411
8.0,2.0,1.0,0.5125183220631544
9.0,2.0,1.0,0.607166954092901
1.0,3.0,1.0,0.5346192515416497
2.0,3.0,1.0,0.5778640675032275
3.0,3.0,1.0,0.5252522115190987
4.0,3.0,1.0,0.5792284724912129
5.0,3.0,1.0,0.5793793886687922
6.0,3.0,1.0,0.5868188890730189
7.0,3.0,1.0,0.5812052492891339
8.0,3.0,1.0,0.5085836811384613
9.0,3.0,1.0,0.5808516617063179
1.0,4.0,1.0,0.5284371721752601
2.0,4.0,1.0,0.5601508001902434
3.0,4.0,1.0,0.5189934782917671
4.0,4.0,1.0,0.5702618321886275
5.0,4.0,1.0,0.5612109217319048
6.0,4.0,1.0,0.5685458853548093
7.0,4.0,1.0,0.5621851345485601
8.0,4.0,1.0,0.5100929301322648
9.0,4.0,1.0,0.5618621820139146
1.0,5.0,1.0,0.517705016928387
2.0,5.0,1.0,0.5376708781992068
3.0,5.0,1.0,0.5146086122891004
4.0,5.0,1.0,0.5567504318883841
5.0,5.0,1.0,0.5382265030397809
6.0,5.0,1.0,0.5489671229843042
7.0,5.0,1.0,0.5393213731917182
8.0,5.0,1.0,0.5143357927595462
9.0,5.0,1.0,0.540459007525546
1.0,6.0,1.0,0.5127494330413762
2.0,6.0,1.0,0.524891595994868
3.0,6.0,1.0,0.5172281759924897
4.0,6.0,1.0,0.5521697131207258
5.0,6.0,1.0,0.5252964132868984
6.0,6.0,1.0,0.5363763459427356
7.0,6.0,1.0,0.5265334462127083
8.0,6.0,1.0,0.5194354037876049
9.0,6.0,1.0,0.5294542307328067
1.0,7.0,1.0,0.5101621787977568
2.0,7.0,1.0,0.5111452150462723
3.0,7.0,1.0,0.5257272924155559
4.0,7.0,1.0,0.5448141352066361
5.0,7.0,1.0,0.5103635747147869
6.0,7.0,1.0,0.5259388573128532
7.0,7.0,1.0,0.5114537464248168
8.0,7.0,1.0,0.5270109907773889
9.0,7.0,1.0,0.5204526024496936
1.0,8.0,1.0,0.5087418575024958
2.0,8.0,1.0,0.5010252929674458
3.0,8.0,1.0,0.5349163910315672
4.0,8.0,1.0,0.5427211089992043
5.0,8.0,1.0,0.5003534615581918
6.0,8.0,1.0,0.5184571544925819
7.0,8.0,1.0,0.5012318988307148
8.0,8.0,1.0,0.5310332080639582
9.0,8.0,1.0,0.516297259187359
1.0,9.0,1.0,0.508082013476722
2.0,9.0,1.0,0.4966661982416739
3.0,9.0,1.0,0.5409966851335957
4.0,9.0,1.0,0.5375868275530933
5.0,9.0,1.0,0.4968013289987854
6.0,9.0,1.0,0.5238704879994799
7.0,9.0,1.0,0.4975847683070737
8.0,9.0,1.0,0.5346023624889884
9.0,9.0,1.0,0.52333205515169
1.0,10.0,1.0,0.5118685454560792
2.0,10.0,1.0,0.49106582758828843
3.0,10.0,1.0,0.5549249355591186
4.0,10.0,1.0,0.5335739128582966
5.0,10.0,1.0,0.49007199272420066
6.0,10.0,1.0,0.5262009114038076
7.0,10.0,1.0,0.48997964393783744
8.0,10.0,1.0,0.546071070071169
9.0,10.0,1.0,0.5290840162826734
1.0,11.0,1.0,0.5130580902347086
2.0,11.0,1.0,0.49228601084977125
3.0,11.0,1.0,0.5638433040319092
4.0,11.0,1.0,0.5282982736543493
5.0,11.0,1.0,0.48945789876718426
6.0,11.0,1.0,0.532954840600904
7.0,11.0,1.0,0.4901067410748513
8.0,11.0,1.0,0.5436573713873701
9.0,11.0,1.0,0.538537818388572
1.0,12.0,1.0,0.5171098818755895
2.0,12.0,1.0,0.488720509135873
3.0,12.0,1.0,0.5712848219385638
4.0,12.0,1.0,0.5272134306868236
5.0,12.0,1.0,0.4873987040859069
6.0,12.0,1.0,0.5406690761805029
7.0,12.0,1.0,0.4884643791795432
8.0,12.0,1.0,0.5510519166937118
9.0,12.0,1.0,0.5479526374699518
1.0,13.0,1.0,0.5190383737964117
2.0,13.0,1.0,0.48432165505546243
3.0,13.0,1.0,0.5792104785050622
4.0,13.0,1.0,0.5280027380928997
5.0,13.0,1.0,0.48248873836721656
6.0,13.0,1.0,0.5483398860249812
7.0,13.0,1.0,0.48289014322185847
8.0,13.0,1.0,0.5562233256234149
9.0,13.0,1.0,0.5569288166816999
1.0,14.0,1.0,0.5293646039844806
2.0,14.0,1.0,0.49447604158172936
3.0,14.0,1.0,0.5866776393803312
4.0,14.0,1.0,0.5228284839277297
5.0,14.0,1.0,0.4902874917317305
6.0,14.0,1.0,0.5553317078872622
7.0,14.0,1.0,0.4951310496926783
8.0,14.0,1.0,0.5573194707225453
9.0,14.0,1.0,0.5664439990358293
1.0,15.0,1.0,0.5322990069352161
2.0,15.0,1.0,0.4962169554416017
3.0,15.0,1.0,0.5946457716122435
4.0,15.0,1.0,0.5231332499119122
5.0,15.0,1.0,0.49617635975628865
6.0,15.0,1.0,0.5645854625749801
7.0,15.0,1.0,0.4971543050373793
8.0,15.0,1.0,0.5633741043810563
9.0,15.0,1.0,0.5751504038266266
1.0,16.0,1.0,0.5326700330092025
2.0,16.0,1.0,0.49706125536880197
3.0,16.0,1.0,0.6009236798679286
4.0,16.0,1.0,0.5214565317656094
5.0,16.0,1.0,0.4970150775363935
6.0,16.0,1.0,0.5691697814314255
7.0,16.0,1.0,0.5004931093641466
8.0,16.0,1.0,0.5642161215235739
9.0,16.0,1.0,0.5808348475287383
1.0,17.0,1.0,0.5375810130564844
2.0,17.0,1.0,0.5028797507120496
3.0,17.0,1.0,0.6081650906070541
4.0,17.0,1.0,0.5225417941074851
5.0,17.0,1.0,0.5007593480276044
6.0,17.0,1.0,0.577174898186486
7.0,17.0,1.0,0.5026948608442108
8.0,17.0,1.0,0.5730171648277669
9.0,17.0,1.0,0.5896356839875156
1.0,18.0,1.0,0.5517400322905178
2.0,18.0,1.0,0.5068644324030213
3.0,18.0,1.0,0.6151847456904556
4.0,18.0,1.0,0.5184394379553711
5.0,18.0,1.0,0.5058817186251293
6.0,18.0,1.0,0.5870809528786949
7.0,18.0,1.0,0.5098685648210742
8.0,18.0,1.0,0.5725644094839974
9.0,18.0,1.0,0.5982595880355657
1.0,19.0,1.0,0.5590286346195973
2.0,19.0,1.0,0.5251579471342489
3.0,19.0,1.0,0.6225073872761278
4.0,19.0,1.0,0.5183772064875707
5.0,19.0,1.0,0.5265374374650745
6.0,19.0,1.0,0.5958100889455467
7.0,19.0,1.0,0.5327380463745787
8.0,19.0,1.0,0.5772383952733826
9.0,19.0,1.0,0.6083037852576083
1.0,20.0,1.0,0.5551662105478868
2.0,20.0,1.0,0.5190362340983434
3.0,20.0,1.0,0.6247396053142825
4.0,20.0,1.0,0.5209644291211012
5.0,20.0,1.0,0.5216968434568755
6.0,20.0,1.0,0.598546736497248
7.0,20.0,1.0,0.5309592691546967
8.0,20.0,1.0,0.5771730243252473
9.0,20.0,1.0,0.61034417874122
