measure,worlds,repetition,value
1.0,1.0,1.0,0.517379679144385
2.0,1.0,1.0,0.5998217468805707
3.0,1.0,1.0,0.552584670231729
4.0,1.0,1.0,0.624777183600713
1.0,2.0,1.0,0.45142602495543666
2.0,2.0,1.0,0.3796791443850268
3.0,2.0,1.0,0.5454545454545456
4.0,2.0,1.0,0.5944741532976829
1.0,3.0,1.0,0.5265151515151516
2.0,3.0,1.0,0.519607843137255
3.0,3.0,1.0,0.46836007130124774
4.0,3.0,1.0,0.5262923351158646
1.0,4.0,1.0,0.5158299412030756
2.0,4.0,1.0,0.5920398009950252
3.0,4.0,1.0,0.5558570782451381
4.0,4.0,1.0,0.524197195838987
1.0,5.0,1.0,0.5403297682709448
2.0,5.0,1.0,0.5824420677361852
3.0,5.0,1.0,0.5459001782531192
4.0,5.0,1.0,0.5623885918003566
1.0,6.0,1.0,0.586612392582542
2.0,6.0,1.0,0.5585707824513794
3.0,6.0,1.0,0.5563093622795116
4.0,6.0,1.0,0.4988692899140662
1.0,7.0,1.0,0.4819086386250564
2.0,7.0,1.0,0.4504748982360922
3.0,7.0,1.0,0.5857078245137944
4.0,7.0,1.0,0.4843962008141114
1.0,8.0,1.0,0.4699231117141565
2.0,8.0,1.0,0.5350520126639529
3.0,8.0,1.0,0.5133423790140208
4.0,8.0,1.0,0.5237449118046134
1.0,9.0,1.0,0.5836725463591137
2.0,9.0,1.0,0.6549072817729535
3.0,9.0,1.0,0.6711895070104024
4.0,9.0,1.0,0.4486657620985979
1.0,10.0,1.0,0.6180926916221031
2.0,10.0,1.0,0.6354723707664885
3.0,10.0,1.0,0.6180926916221035
4.0,10.0,1.0,0.4875222816399288
1.0,11.0,1.0,0.4785165083672547
2.0,11.0,1.0,0.5725915875169607
3.0,11.0,1.0,0.5848032564450477
4.0,11.0,1.0,0.5495251017639078
1.0,12.0,1.0,0.4518317503392131
2.0,12.0,1.0,0.5246494798733605
3.0,12.0,1.0,0.47218453188602433
4.0,12.0,1.0,0.4287652645861602
1.0,13.0,1.0,0.6492869875222819
2.0,13.0,1.0,0.63680926916221
3.0,13.0,1.0,0.5543672014260248
4.0,13.0,1.0,0.6278966131907305
1.0,14.0,1.0,0.5750791497060155
2.0,14.0,1.0,0.44685662596110354
3.0,14.0,1.0,0.5658073270013568
4.0,14.0,1.0,0.443238353686115
1.0,15.0,1.0,0.506558118498417
2.0,15.0,1.0,0.5608322026232474
3.0,15.0,1.0,0.5997286295793759
4.0,15.0,1.0,0.5802804161013119
1.0,16.0,1.0,0.5348258706467661
2.0,16.0,1.0,0.4391677973767525
3.0,16.0,1.0,0.5178652193577566
4.0,16.0,1.0,0.4830393487109907
1.0,17.0,1.0,0.38466757123473555
2.0,17.0,1.0,0.42514699231117126
3.0,17.0,1.0,0.6345545002261419
4.0,17.0,1.0,0.5156037991858887
1.0,18.0,1.0,0.6074174581637269
2.0,18.0,1.0,0.6549072817729535
3.0,18.0,1.0,0.4934418815015831
4.0,18.0,1.0,0.5753052917232022
1.0,19.0,1.0,0.5786974219810043
2.0,19.0,1.0,0.6345545002261421
3.0,19.0,1.0,0.6291270918136591
4.0,19.0,1.0,0.48530076888285867
1.0,20.0,1.0,0.5698778833107192
2.0,20.0,1.0,0.6567164179104479
3.0,20.0,1.0,0.6092265943012213
4.0,20.0,1.0,0.5033921302578019
1.0,1.0,2.0,0.47727272727272735
2.0,1.0,2.0,0.47103386809269165
3.0,1.0,2.0,0.4939839572192514
4.0,1.0,2.0,0.5802139037433155
1.0,2.0,2.0,0.5015597147950088
2.0,2.0,2.0,0.5115864527629235
3.0,2.0,2.0,0.568627450980392
4.0,2.0,2.0,0.5
1.0,3.0,2.0,0.38770053475935834
2.0,3.0,2.0,0.43048128342245995
3.0,3.0,2.0,0.49286987522281644
4.0,3.0,2.0,0.4197860962566844
1.0,4.0,2.0,0.5291723202170963
2.0,4.0,2.0,0.5065581184984171
3.0,4.0,2.0,0.5264586160108549
4.0,4.0,2.0,0.5201266395296247
1.0,5.0,2.0,0.4717322478516507
2.0,5.0,2.0,0.4961555857078244
3.0,5.0,2.0,0.5201266395296247
4.0,5.0,2.0,0.5065581184984171
1.0,6.0,2.0,0.6888285843509726
2.0,6.0,2.0,0.7494346449570333
3.0,6.0,2.0,0.6042514699231119
4.0,6.0,2.0,0.5771144278606966
1.0,7.0,2.0,0.6243315508021389
2.0,7.0,2.0,0.60427807486631
3.0,7.0,2.0,0.5784313725490196
4.0,7.0,2.0,0.4933155080213903
1.0,8.0,2.0,0.5452284034373588
2.0,8.0,2.0,0.5753052917232023
3.0,8.0,2.0,0.4988692899140662
