measure,worlds,repetition,value
1.0,1.0,1.0,0.5141654658818944
2.0,1.0,1.0,0.5479995546804273
3.0,1.0,1.0,0.5332289011129349
4.0,1.0,1.0,0.5656143146786474
1.0,2.0,1.0,0.5203054241895612
2.0,2.0,1.0,0.6462596778754282
3.0,2.0,1.0,0.5134686913420079
4.0,2.0,1.0,0.6522504606921721
1.0,3.0,1.0,0.5386451328701809
2.0,3.0,1.0,0.6774362057644527
3.0,3.0,1.0,0.5121396321844203
4.0,3.0,1.0,0.6809689433953566
1.0,4.0,1.0,0.5518341331729586
2.0,4.0,1.0,0.6958957177353164
3.0,4.0,1.0,0.5113368294430324
4.0,4.0,1.0,0.6985058793569344
1.0,5.0,1.0,0.564076261336317
2.0,5.0,1.0,0.7070620400487952
3.0,5.0,1.0,0.5112277872419492
4.0,5.0,1.0,0.7087546301113463
1.0,6.0,1.0,0.5702739323516478
2.0,6.0,1.0,0.7154633124427149
3.0,6.0,1.0,0.5124311807236724
4.0,6.0,1.0,0.7169246872581776
1.0,7.0,1.0,0.5784082398433572
2.0,7.0,1.0,0.7211780800884243
3.0,7.0,1.0,0.5085429528926069
4.0,7.0,1.0,0.7224296234536796
1.0,8.0,1.0,0.588106251133052
2.0,8.0,1.0,0.7242785643509323
3.0,8.0,1.0,0.5096213143080927
4.0,8.0,1.0,0.7252499054566532
1.0,9.0,1.0,0.5928693378770912
2.0,9.0,1.0,0.7283507311450387
3.0,9.0,1.0,0.5082215392617807
4.0,9.0,1.0,0.7292106876258714
1.0,10.0,1.0,0.5977755252345343
2.0,10.0,1.0,0.7311224281948666
3.0,10.0,1.0,0.5115280613903005
4.0,10.0,1.0,0.7318776655435999
1.0,11.0,1.0,0.601089213860204
2.0,11.0,1.0,0.7323274908625245
3.0,11.0,1.0,0.508503600883632
4.0,11.0,1.0,0.7330084649704771
1.0,12.0,1.0,0.6073109888788126
2.0,12.0,1.0,0.7353058367969382
3.0,12.0,1.0,0.5079756379133322
4.0,12.0,1.0,0.7357746729545596
1.0,13.0,1.0,0.6092012528398366
2.0,13.0,1.0,0.7363145767266884
3.0,13.0,1.0,0.508610516865205
4.0,13.0,1.0,0.7368176562668236
1.0,14.0,1.0,0.6143643701260936
2.0,14.0,1.0,0.737805231368628
3.0,14.0,1.0,0.5079288523328886
4.0,14.0,1.0,0.738232367314151
1.0,15.0,1.0,0.6154001778556292
2.0,15.0,1.0,0.7378820086741364
3.0,15.0,1.0,0.5108024072288628
4.0,15.0,1.0,0.7381994573510294
1.0,16.0,1.0,0.6217002614497298
2.0,16.0,1.0,0.7432353144575314
3.0,16.0,1.0,0.510089957225597
4.0,16.0,1.0,0.7436255782648312
1.0,17.0,1.0,0.6229961449379892
2.0,17.0,1.0,0.7408020283691443
3.0,17.0,1.0,0.5092746109355313
4.0,17.0,1.0,0.7412426064527198
1.0,18.0,1.0,0.6249187545205283
2.0,18.0,1.0,0.7415380106763175
3.0,18.0,1.0,0.5096295704312128
4.0,18.0,1.0,0.7419417659666157
1.0,19.0,1.0,0.6296985970969301
2.0,19.0,1.0,0.7415164185552676
3.0,19.0,1.0,0.5102054011349181
4.0,19.0,1.0,0.741758097979219
1.0,20.0,1.0,0.6301178707622054
2.0,20.0,1.0,0.7427546278644045
3.0,20.0,1.0,0.509669725345153
4.0,20.0,1.0,0.742926692541887
