measure,worlds,repetition,value
1.0,1.0,1.0,0.5515279999999998
2.0,1.0,1.0,0.714368
3.0,1.0,1.0,0.5455093333333334
4.0,1.0,1.0,0.7415253333333331
1.0,2.0,1.0,0.5844186666666669
2.0,2.0,1.0,0.7170026666666667
3.0,2.0,1.0,0.5454933333333335
4.0,2.0,1.0,0.7173759999999997
1.0,3.0,1.0,0.5979066666666665
2.0,3.0,1.0,0.717525333333333
3.0,3.0,1.0,0.5493759999999999
4.0,3.0,1.0,0.7163146666666669
1.0,4.0,1.0,0.6096906666666668
2.0,4.0,1.0,0.7097919999999999
3.0,4.0,1.0,0.5548426666666666
4.0,4.0,1.0,0.7079253333333333
1.0,5.0,1.0,0.623968
2.0,5.0,1.0,0.7214399999999997
3.0,5.0,1.0,0.5613920000000001
4.0,5.0,1.0,0.7192266666666667
1.0,6.0,1.0,0.630584
2.0,6.0,1.0,0.7210986666666668
3.0,6.0,1.0,0.5633866666666668
4.0,6.0,1.0,0.7187680000000001
1.0,7.0,1.0,0.6429866666666665
2.0,7.0,1.0,0.7336320000000001
3.0,7.0,1.0,0.55232
4.0,7.0,1.0,0.7306826666666669
1.0,8.0,1.0,0.6338346666666665
2.0,8.0,1.0,0.7303413333333334
3.0,8.0,1.0,0.5823893333333333
4.0,8.0,1.0,0.7280106666666665
1.0,9.0,1.0,0.6459733333333333
2.0,9.0,1.0,0.7446079999999996
3.0,9.0,1.0,0.5834880000000001
4.0,9.0,1.0,0.7417920000000001
1.0,10.0,1.0,0.6491013333333333
2.0,10.0,1.0,0.7405386666666663
3.0,10.0,1.0,0.584432
4.0,10.0,1.0,0.7376533333333332
1.0,11.0,1.0,0.639288
2.0,11.0,1.0,0.7387253333333335
3.0,11.0,1.0,0.6005013333333333
4.0,11.0,1.0,0.7365653333333333
1.0,12.0,1.0,0.6472800000000002
2.0,12.0,1.0,0.7433013333333333
3.0,12.0,1.0,0.5993866666666666
4.0,12.0,1.0,0.739936
1.0,13.0,1.0,0.6664906666666666
2.0,13.0,1.0,0.7472693333333333
3.0,13.0,1.0,0.5873653333333333
4.0,13.0,1.0,0.7440960000000003
1.0,14.0,1.0,0.6705786666666665
2.0,14.0,1.0,0.756421333333333
3.0,14.0,1.0,0.5938293333333333
4.0,14.0,1.0,0.7530079999999997
1.0,15.0,1.0,0.6691760000000001
2.0,15.0,1.0,0.7493013333333335
3.0,15.0,1.0,0.6099466666666663
4.0,15.0,1.0,0.7457813333333325
1.0,16.0,1.0,0.6705066666666665
2.0,16.0,1.0,0.7594666666666667
3.0,16.0,1.0,0.6071840000000002
4.0,16.0,1.0,0.7571626666666667
1.0,17.0,1.0,0.6617413333333336
2.0,17.0,1.0,0.7437813333333329
3.0,17.0,1.0,0.6063839999999999
4.0,17.0,1.0,0.7407466666666663
1.0,18.0,1.0,0.6643973333333332
2.0,18.0,1.0,0.7479893333333331
3.0,18.0,1.0,0.6018826666666663
4.0,18.0,1.0,0.7444106666666666
1.0,19.0,1.0,0.666648
2.0,19.0,1.0,0.7533866666666666
3.0,19.0,1.0,0.6023999999999998
4.0,19.0,1.0,0.7490506666666664
1.0,20.0,1.0,0.6692666666666665
2.0,20.0,1.0,0.7464213333333334
3.0,20.0,1.0,0.6191626666666666
4.0,20.0,1.0,0.7420426666666667
