measure,worlds,repetition,value
1.0,1.0,1.0,0.5410273652736456
2.0,1.0,1.0,0.5810075535199354
3.0,1.0,1.0,0.5913188463714435
4.0,1.0,1.0,0.5844455272754229
5.0,1.0,1.0,0.581286884248441
6.0,1.0,1.0,0.5944623652844175
7.0,1.0,1.0,0.5804440263168243
8.0,1.0,1.0,0.5144375098106585
9.0,1.0,1.0,0.582696698355095
1.0,2.0,1.0,0.5159522435350372
2.0,2.0,1.0,0.5155903149007286
3.0,2.0,1.0,0.5692284516917869
4.0,2.0,1.0,0.518980744972484
5.0,2.0,1.0,0.5160392540945397
6.0,2.0,1.0,0.5203390371007408
7.0,2.0,1.0,0.5158150676075245
8.0,2.0,1.0,0.5152420876753034
9.0,2.0,1.0,0.516908167701665
1.0,3.0,1.0,0.5092551101454722
2.0,3.0,1.0,0.5346062174886532
3.0,3.0,1.0,0.5620932533254711
4.0,3.0,1.0,0.5304723113687714
5.0,3.0,1.0,0.534615097218274
6.0,3.0,1.0,0.5223415436414055
7.0,3.0,1.0,0.5358439284282123
8.0,3.0,1.0,0.5155036421431575
9.0,3.0,1.0,0.5332670781795192
1.0,4.0,1.0,0.5125376108888288
2.0,4.0,1.0,0.5659876181161347
3.0,4.0,1.0,0.5605965929435671
4.0,4.0,1.0,0.5611580408095479
5.0,4.0,1.0,0.5659237378738659
6.0,4.0,1.0,0.5531638945198734
7.0,4.0,1.0,0.5668344663929976
8.0,4.0,1.0,0.5172066105523301
9.0,4.0,1.0,0.5644506437849789
1.0,5.0,1.0,0.5217551728054368
2.0,5.0,1.0,0.5908937927796342
3.0,5.0,1.0,0.5593758557817033
4.0,5.0,1.0,0.5867465700816766
5.0,5.0,1.0,0.5909066539364346
6.0,5.0,1.0,0.5784136077874897
7.0,5.0,1.0,0.5916589247204898
8.0,5.0,1.0,0.5155386552411851
9.0,5.0,1.0,0.5896229211028741
1.0,6.0,1.0,0.5321351254626012
2.0,6.0,1.0,0.610501267209027
3.0,6.0,1.0,0.5597310173365152
4.0,6.0,1.0,0.6064743490761204
5.0,6.0,1.0,0.6104493656653855
6.0,6.0,1.0,0.5984822096069138
7.0,6.0,1.0,0.611156166853438
8.0,6.0,1.0,0.5168662768674437
9.0,6.0,1.0,0.6092290669370275
1.0,7.0,1.0,0.5427194073692708
2.0,7.0,1.0,0.6208952608867049
3.0,7.0,1.0,0.559448424994056
4.0,7.0,1.0,0.617443806263899
5.0,7.0,1.0,0.6208556858066755
6.0,7.0,1.0,0.6095024338245918
7.0,7.0,1.0,0.6214616679219122
8.0,7.0,1.0,0.5154646169922005
9.0,7.0,1.0,0.6198256302166006
1.0,8.0,1.0,0.5518505992204261
2.0,8.0,1.0,0.6346151367556889
3.0,8.0,1.0,0.5594187025326783
4.0,8.0,1.0,0.6312506817168151
5.0,8.0,1.0,0.6346415246656991
6.0,8.0,1.0,0.6234958691461984
7.0,8.0,1.0,0.6352599116750811
8.0,8.0,1.0,0.5163209761253083
9.0,8.0,1.0,0.6336287150928364
1.0,9.0,1.0,0.557862443143814
2.0,9.0,1.0,0.644162340249965
3.0,9.0,1.0,0.5605548288607124
