measure,worlds,repetition,value
1.0,1.0,1.0,0.5616119999999999
2.0,1.0,1.0,0.6620880000000001
3.0,1.0,1.0,0.540024
4.0,1.0,1.0,0.6622600000000002
1.0,2.0,1.0,0.5813299999999998
2.0,2.0,1.0,0.6682400000000002
3.0,2.0,1.0,0.55178
4.0,2.0,1.0,0.6668400000000002
1.0,3.0,1.0,0.5811500000000002
2.0,3.0,1.0,0.6556560000000001
3.0,3.0,1.0,0.5536200000000001
4.0,3.0,1.0,0.656108
1.0,4.0,1.0,0.59087
2.0,4.0,1.0,0.6605919999999996
3.0,4.0,1.0,0.5501679999999999
4.0,4.0,1.0,0.6605880000000002
1.0,5.0,1.0,0.5937139999999997
2.0,5.0,1.0,0.663976
3.0,5.0,1.0,0.5482000000000002
4.0,5.0,1.0,0.6652560000000001
1.0,6.0,1.0,0.5816740000000001
2.0,6.0,1.0,0.6466039999999998
3.0,6.0,1.0,0.5498840000000002
4.0,6.0,1.0,0.648032
1.0,7.0,1.0,0.5969279999999997
2.0,7.0,1.0,0.6607120000000001
3.0,7.0,1.0,0.5463600000000003
4.0,7.0,1.0,0.6615879999999998
1.0,8.0,1.0,0.602558
2.0,8.0,1.0,0.6650560000000002
3.0,8.0,1.0,0.5518599999999999
4.0,8.0,1.0,0.6654599999999999
1.0,9.0,1.0,0.6068960000000001
2.0,9.0,1.0,0.6663399999999998
3.0,9.0,1.0,0.5500599999999999
4.0,9.0,1.0,0.666292
1.0,10.0,1.0,0.6134879999999998
2.0,10.0,1.0,0.6696359999999999
3.0,10.0,1.0,0.546452
4.0,10.0,1.0,0.6692759999999999
1.0,11.0,1.0,0.6166719999999999
2.0,11.0,1.0,0.669796
3.0,11.0,1.0,0.549288
4.0,11.0,1.0,0.6708560000000005
1.0,12.0,1.0,0.6224879999999999
2.0,12.0,1.0,0.6803160000000001
3.0,12.0,1.0,0.5575520000000003
4.0,12.0,1.0,0.6805080000000001
1.0,13.0,1.0,0.6287939999999997
2.0,13.0,1.0,0.6704000000000002
3.0,13.0,1.0,0.5529960000000002
4.0,13.0,1.0,0.671276
1.0,14.0,1.0,0.6256140000000003
2.0,14.0,1.0,0.6773080000000001
3.0,14.0,1.0,0.5542319999999998
4.0,14.0,1.0,0.6774680000000001
1.0,15.0,1.0,0.6242080000000002
2.0,15.0,1.0,0.6773000000000003
3.0,15.0,1.0,0.541824
4.0,15.0,1.0,0.677536
1.0,16.0,1.0,0.6216880000000001
2.0,16.0,1.0,0.6785040000000003
3.0,16.0,1.0,0.547436
4.0,16.0,1.0,0.6793279999999998
1.0,17.0,1.0,0.621798
2.0,17.0,1.0,0.6813600000000004
3.0,17.0,1.0,0.545828
4.0,17.0,1.0,0.6816560000000002
1.0,18.0,1.0,0.624282
2.0,18.0,1.0,0.6752999999999999
3.0,18.0,1.0,0.5419480000000001
4.0,18.0,1.0,0.6753439999999996
1.0,19.0,1.0,0.638762
2.0,19.0,1.0,0.689984
3.0,19.0,1.0,0.5474480000000002
4.0,19.0,1.0,0.690604
1.0,20.0,1.0,0.6292100000000002
2.0,20.0,1.0,0.6822640000000003
3.0,20.0,1.0,0.5519600000000003
4.0,20.0,1.0,0.6842560000000002
