measure,worlds,repetition,value
1.0,1.0,1.0,0.5290849926650595
2.0,1.0,1.0,0.5096952927684795
3.0,1.0,1.0,0.5768598666015509
4.0,1.0,1.0,0.5175558417797146
5.0,1.0,1.0,0.5121467061891609
6.0,1.0,1.0,0.5103275369772815
7.0,1.0,1.0,0.5149955992214005
8.0,1.0,1.0,0.5132225381734757
9.0,1.0,1.0,0.5158571296185227
1.0,2.0,1.0,0.5172129261224009
2.0,2.0,1.0,0.603495489245615
3.0,2.0,1.0,0.5371577213590599
4.0,2.0,1.0,0.6065190086676178
5.0,2.0,1.0,0.604361485916879
6.0,2.0,1.0,0.593012279814689
7.0,2.0,1.0,0.6052596588956366
8.0,2.0,1.0,0.515050524108779
9.0,2.0,1.0,0.6024869393909696
1.0,3.0,1.0,0.5387422335062283
2.0,3.0,1.0,0.6427356905128833
3.0,3.0,1.0,0.5288729483618563
4.0,3.0,1.0,0.6447660287807951
5.0,3.0,1.0,0.6433165103309297
6.0,3.0,1.0,0.6318932719571331
7.0,3.0,1.0,0.6438586068416482
8.0,3.0,1.0,0.5131075914902768
9.0,3.0,1.0,0.6420525116152384
1.0,4.0,1.0,0.5581945887241595
2.0,4.0,1.0,0.6671719380023782
3.0,4.0,1.0,0.5243378232738399
4.0,4.0,1.0,0.668373312740107
5.0,4.0,1.0,0.6675154820681837
6.0,4.0,1.0,0.6559176796342722
7.0,4.0,1.0,0.667841374652373
8.0,4.0,1.0,0.5146888703870219
9.0,4.0,1.0,0.6665844937535669
1.0,5.0,1.0,0.5710546031732758
2.0,5.0,1.0,0.6803901403222208
3.0,5.0,1.0,0.5225258831375218
4.0,5.0,1.0,0.681458712989211
5.0,5.0,1.0,0.680664810000909
6.0,5.0,1.0,0.6696661603885834
7.0,5.0,1.0,0.6808937856346401
8.0,5.0,1.0,0.5142562199170343
9.0,5.0,1.0,0.679979516587895
1.0,6.0,1.0,0.5793325955983742
2.0,6.0,1.0,0.689828156741501
3.0,6.0,1.0,0.5223515748521043
4.0,6.0,1.0,0.6908983302786257
5.0,6.0,1.0,0.690096814152022
6.0,6.0,1.0,0.6791312910936486
7.0,6.0,1.0,0.6902414634792409
8.0,6.0,1.0,0.5148209648083057
9.0,6.0,1.0,0.6895272550080045
1.0,7.0,1.0,0.589561753755575
2.0,7.0,1.0,0.6997098962494903
3.0,7.0,1.0,0.519379783214645
4.0,7.0,1.0,0.70068574594911
5.0,7.0,1.0,0.699930411773015
6.0,7.0,1.0,0.6889566040446081
