measure,worlds,repetition,value
1.0,1.0,1.0,0.528395147884363
2.0,1.0,1.0,0.5885165739365342
3.0,1.0,1.0,0.5234499128593385
4.0,1.0,1.0,0.6175685105492607
1.0,2.0,1.0,0.5992228985877641
2.0,2.0,1.0,0.6867312684160188
3.0,2.0,1.0,0.6068505852885789
4.0,2.0,1.0,0.6982444584164195
1.0,3.0,1.0,0.6433478775161866
2.0,3.0,1.0,0.7144873777681622
3.0,3.0,1.0,0.6283997440779278
4.0,3.0,1.0,0.7215517437714143
1.0,4.0,1.0,0.667514049937102
2.0,4.0,1.0,0.7293173985946928
3.0,4.0,1.0,0.64045774290839
4.0,4.0,1.0,0.7345353098768709
1.0,5.0,1.0,0.680441420603397
2.0,5.0,1.0,0.7365510754955227
3.0,5.0,1.0,0.6421513848484743
4.0,5.0,1.0,0.7405911382744882
1.0,6.0,1.0,0.6945229880271615
2.0,6.0,1.0,0.7433590116298132
3.0,6.0,1.0,0.6497223888327551
4.0,6.0,1.0,0.7468464664744688
1.0,7.0,1.0,0.7017234140054452
2.0,7.0,1.0,0.7459470649741511
3.0,7.0,1.0,0.6527432981875756
4.0,7.0,1.0,0.7490508360106264
1.0,8.0,1.0,0.7064643706070627
2.0,8.0,1.0,0.7497545392903004
3.0,8.0,1.0,0.6539869815142386
4.0,8.0,1.0,0.7525495704622172
1.0,9.0,1.0,0.7107088336621504
2.0,9.0,1.0,0.7517685780685743
3.0,9.0,1.0,0.6526262524608947
4.0,9.0,1.0,0.7541361119001012
1.0,10.0,1.0,0.7188779327118636
2.0,10.0,1.0,0.755848045798797
3.0,10.0,1.0,0.6576143907278567
4.0,10.0,1.0,0.7580340568348524
1.0,11.0,1.0,0.7193983004501536
2.0,11.0,1.0,0.7559106456204945
3.0,11.0,1.0,0.6558062312512258
4.0,11.0,1.0,0.7579857598624435
1.0,12.0,1.0,0.7233962385327752
2.0,12.0,1.0,0.7589757016501912
3.0,12.0,1.0,0.6601514970916257
4.0,12.0,1.0,0.7608649124117429
1.0,13.0,1.0,0.7248833444918841
2.0,13.0,1.0,0.7579323032932439
3.0,13.0,1.0,0.6593012271792626
4.0,13.0,1.0,0.7598358855319332
1.0,14.0,1.0,0.7297989782828892
2.0,14.0,1.0,0.7629286134785961
3.0,14.0,1.0,0.6611953667495186
4.0,14.0,1.0,0.764645581224617
1.0,15.0,1.0,0.7296110541057499
2.0,15.0,1.0,0.7618101502451533
3.0,15.0,1.0,0.6583566008718874
4.0,15.0,1.0,0.7633871448507292
1.0,16.0,1.0,0.7304853643495521
2.0,16.0,1.0,0.7625157315329549
3.0,16.0,1.0,0.6586319329941054
4.0,16.0,1.0,0.7640944812839547
1.0,17.0,1.0,0.733721705539319
2.0,17.0,1.0,0.7631617032763679
3.0,17.0,1.0,0.6606417660441785
4.0,17.0,1.0,0.7646398604250926
1.0,18.0,1.0,0.7351984034950424
2.0,18.0,1.0,0.7651460372961252
3.0,18.0,1.0,0.6610592924957086
4.0,18.0,1.0,0.7664914454515717
1.0,19.0,1.0,0.7362635045737197
2.0,19.0,1.0,0.7662836132747757
3.0,19.0,1.0,0.6607419971543398
4.0,19.0,1.0,0.7677212930521716
1.0,20.0,1.0,0.739288586430624
2.0,20.0,1.0,0.7671502952399166
3.0,20.0,1.0,0.6628603032218728
4.0,20.0,1.0,0.7684779921147542
